TOPIC,TOPIC,Popularity,sentiment,Positive ratio,Average sentiment
British Politics,British Politics,169,0,0.6,0.117812426
PC Keith Palmer,PC Keith Palmer,32,0,0,0.2764
#GERENG,#GERENG,8,0,0,0.2704375
#Westminster,#Westminster,55,0,0,0.014076364
Technology,Technology,6,0,0,0.260633333
Sports,Sports,7,0,0,0
#weddinghour,#weddinghour,2,0,0,0
Canada,Canada,7,0,0,0.3024
#diysos,#diysos,2,0,0,0.85275
#NolanLIVE,#NolanLIVE,8,0,0,0.1849
Trump,Trump,31,0,0,-0.125116129
Abu Izzadeen,Abu Izzadeen,1,0,0,0
NHS,NHS,6,0,0,0.231983333
Television,Television,9,0,0,-0.075522222
